Word,Type1,Type2,Type3
a,np/n,,
about,np\(s/n),np\(s/np),(s\s)/np
address,n,,
afghan,n/n,,
african,n/n,,
again,s\s,,
ah,s/s,,
alright,s/s,,
am,np\s,,
american,n/n,,
an,np/n,,
and,(s\s)/s,,
any,np/n,,
anyone,n,,
anything,n,,
anywhere,n,,
are,(s/np)/np,(np\s)/np,np\(s/np)
area,n,,
areas,n,,
asian,n/n,,
at,pp/np,,
australasian,n/n,,
australian,n/n,,
austrian,n/n,,
available,n,,
barbecue,n/n,,
basque,n/n,,
be,np\s,,
belgian,n/n,,
belgium,n,,
beside,pp/np,,
bistro,n,,
brazilian,n/n,,
breath,n,,
british,n/n,,
but,s/s,,
bye,s,n,
cambridge,n,,
can,(s/np)/(s/np),,
canapes,n/n,,
cantonese,n/n,,
care,(np/s)\(np\s),np\s,
caribbean,n/n,,
catalan,n/n,,
center,n,,
central,n,,
centre,n,,
change,(s/pp)/np,,
cheap,n/n,,
chinese,n/n,,
chiquito,n,,
christmas,n,,
city,n,,
class,n,,
corsica,n,,
could,s/np,,
creative,n/n,,
crossover,n/n,,
cuban,n/n,,
damn,n,n/n,
danish,n/n,,
dear,s\s,,
decide,s\(s/np),,
did,s/np,,
different,n/n,,
do,(np\s)/(np\s),,
does,(np\s)/(np\s),,
doesnt,(np\s)/(np\s),,
dont,(np\s)/(np\s),,
downtown,n,,
east,n,n/n,
eat,(s\s)/n,,
else,n\n,,
english,n/n,,
eritrean,n/n,,
european,n/n,,
every,n/n,,
expensive,n/n,,
fancy,n/n,,
fast,n/n,,
find,(np\s)/np,np\s,
fine,n,s,
fish,n,,
food,n,,
foods,n,,
for,pp/n,pp/np,
french,n/n,,
from,pp/np,,
fusion,n/n,,
gastro,n/n,,
gastropub,n,n/n,
german,n/n,,
get,(np\s)/np,,
give,(np\s)/np,,
good,n/n,,
got,(np\s)/np,,
greek,n/n,,
halal,n/n,,
harbor,n,,
has,(np\s)/np,(np\s)/(np\s),
have,np\(s/np),,
help,(s/np)/(np\s),s,
high,n/n,,
hindi,n/n,,
house,n,,
how,s/s,,
hungarian,n/n,,
i,np,,
iam,s,s/np,
id,s/(np\s),,
if,s/s,(s\s)/s,
im,s,,
in,(s\pp)/np,((np\s)\pp)/np,(s\s)/np
includes,(np\s)/np,,
indian,n/n,,
indonesian,n/n,,
inner,n/n,,
international,n/n,,
irish,n/n,,
is,(np\(s\s))/np,np\(s/np),
it,np,,
italian,n/n,,
its,s/pp,,
jamaican,n/n,,
japanese,n/n,,
just,s/(np\s),,
kind,n,n/n,
know,(np\s)/np,,
korea,n,,
korean,n/n,,
kosher,n/n,,
lebanese,n/n,,
let,(s/np)/s,,
lets,s/s,,
like,np\(s/np),,
list,n,,
long,(s\s)/s,,
look,(np\s)/pp,,
looking,s\(s/pp),,
malaysian,n/n,,
matter,np\s,,
may,s/np,,
me,n,,
meant,(np\s)/np,,
mediterranean,n/n,,
medium,n/n,,
mexican,n/n,,
mind,n\(np/n),(np/s)/(s\s),np\s
missing,n/n,,
moderate,n/n,,
moderately,n/n,np/np,
modern,n/n,,
moroccan,n/n,,
moron,n,,
music,n,,
my,np/n,,
need,(np\s)/np,np\(s/np),
needs,(np\s)/(np\s),((np\s)/np)/s,((np\s)/pp)/s
no,np/n,,
north,n/n,n,
not,np/n,,
of,pp/n,,
oh,s/s,,
ok,s/s,,
okay,s/s,s,
on,pp/np,,
one,n/n,n\n,np
oriental,n/n,,
other,n/n,,
pan,n/n,,
park,n,,
part,n,n/pp,
parts,n,,
persian,n/n,,
place,n,,
please,s\s,,
polish,n/n,,
polynesia,n/n,,
polynesian,n/n,,
portuguese,n/n,,
prezzo,n,,
price,n,,
priced,n/n,np,
prices,n,,
range,n,,
really,n/n,,
reasonably,n/n,,
repeat,(np\s)/np,,
restaurant,n,,
restaurants,n,,
rice,n ,,
romania,n/n,,
romanian,n/n,,
russian,n/n,,
said,np/s,,
says,np/s,,
scandinavia,n/n,,
scandinavian,n/n,,
scottish,n/n,,
sea,n,,
seafood,n,,
searching,s\(s/pp),,
see,(np\s)/np,,
sells,(np\s)/n,,
serve,(np\s)/n,,
served,(np\s)/np,,
serves,(np\(s\s))/n,,
serving,(s\s)/n,,
should,np\(s/(np\s)),,
side,n,,
singapore,n/n,,
singaporean,n/n,,
so,s/s,,
sock,n,,
some,n/n,,
something,n,,
sorry,s/s,,
south,n/n,,
spanish,n/n,,
steak,n,,
steakhouse,n,,
such,np/n,,
surprise,n,,
swedish,n/n,,
swiss,n/n,,
system,n ,,
tell,(np\s)/np,,
thai,n/n,,
thailand,n/n,,
that,np,,
thats,np/n,,
the,np/n,,
their,np/n,,
then,np/n,,
there,np/n,,
theres,np/n,,
they,np ,,
thing,n,,
this,np/n,,
time,n ,,
to,(s\s)/s,,
town,n,,
traditional,n/n,,
try,(np\s)/np,,
trying,(np\s)/np,,
turkey,n/n,,
turkish,n/n,,
tuscan,n/n,,
type,n ,,
uh,s/s,,
um,s/s,,
umh,s/s,,
unusual,n/n,,
vegetarian,n/n,,
venetian,n/n,,
venue,n ,,
venues,n,,
vietnam,n/n,,
vietnamese,n/n,,
wanna,(np\s)/(np\s),,
want,np\(s/np),,
was,(np\s)/np,,
well,s/s,,
welsh,n/n,,
west,n,n/n,
what,np,,
whats,np,,
with,(s\pp)/n,,
world,n/n,,
would,(np\(s/np))/(np\(s/np)),,
yes,s/s,,
you,np,,
yourself,np,,